ID,name,Vermin,stars,votes,safety
112539702,"Hawk's Lunch",V1,2,1,""
112457558,Animism,V2,2,1,""
112539966,Hawks lunch,V1+,2,1,""
112539743,Newport,V0,2,1,""
112465638,Rouge Arete,V1,2,1,""
112457690,Crocodile,V2,2,1,""
112425942,Maduro,V0,1.5,2,""
112457743,Poseidon (Direct),V2,1.5,2,""
116208373,Vengeful Humming Bird,V0+,1,2,""
116622508,Hillside Crack,V0,1,1,PG13
116622530,Face-Left,V0,1,1,PG13
116622517,Hillside Face,V0,1,1,PG13
112413851,Emic,V0,1,1,""
112413892,TNT,V1,1,1,""
112457796,Hieroglyphics,V0,1,1,""
110535694,The Bulge,V1-,1,1,""
112775376,Sap Drop,V1,1,1,""
112539923,2 fingers and a Newport,V0-,1,1,""
112540044,Mammoths mantel,V0-,1,1,""
112540039,Ivory,V0-,1,1,""
112457782,Knot,V0,1,1,""
105722578,Planet X,V6,3.9,25,R
108470018,Mushroom Traverse,V1,4,1,""
108343605,Bachar Cracker of Bernasconi,V4+,3.5,2,""
108470005,B-1 Crack,V4+,3.5,2,""
108470038,Mandatory Mushroom.,V6,3,2,""
108343596,"Jon's Mantel",V3,3,1,""
108470043,Roadrunner.,V3-,3,1,""
108346258,SouthWest Passage,V0,2.5,2,PG13
108471783,"Jon's Mantel left",V1,2,1,""
108343583,"Erik's Face",V2,2,1,""
108377879,The North Face Traverse,V2,2,1,""
106327362,Boobs boulder,V0,1,1,""
106124231,Turtle Dome Crack,V1,3.5,26,""
106121624,Tissiack,V0,2.7,38,PG13
106121282,In the Picture,V4,3.8,15,""
106358450,Beach Problem,V2+,3.7,15,PG13
114933738,Roof Crack,V6,4,6,""
106121735,King Bee,V1,2.4,37,""
106122872,Auto Pilot,V4-,4,4,""
106987346,Flabob,V6,4,3,""
106121747,Bumble Bee,V2+,3,22,""
106987316,Window pane,V4,4,2,""
106987366,The Pop Gun,V4,4,1,""
109836000,The White Bowser,V6,4,1,""
106989344,Psychoanalysis,V5,4,1,""
106990759,Saran Wrap,V5,4,1,""
106121259,Masterlock,V3,3.2,17,""
106121321,The Mug,V5,3,21,""
106121288,Over-exposed,V5,3.6,7,R
106122946,Triangle Face,V1,3,17,PG13
107021512,Inscription Mantel,V3,3.6,5,PG13
106121672,Pink Bug,V7,3.4,5,""
106659716,Antenna Roof,V0,3.1,11,PG13
116955853,Tektite,V1,3.5,2,""
106994768,Middle of the Road Madness,V7,3.5,2,""
106652574,Peppertree Right,V5,3.5,2,""
105928876,"Borson's Leftside",V1,2.5,22,""
106121609,Beehive Mantle,V1,2.3,24,""
108604876,King Bee Dyno,V2+,3.2,6,""
110127177,Problem E,V4,3.3,4,""
106121617,Trapeze,V0,2.8,9,""
107013083,Crank Like a Cancer,V1,2.7,10,PG13
106358517,Haney Wall,V1,2.5,13,PG13
106410691,Dynamite Crack,V0-,2.5,13,""
106410642,Peppertree Crack,V0-,2.3,18,""
106358426,Flight of the Bumble Bee,V4,3,3,""
106692946,The Bum,V2,3,3,""
106358510,Muir Trail,V2,3,3,PG13
107454441,Mrs Reagan,V2+,3,3,""
106692938,Street Corner,V1,2.7,9,""
106124215,Overhung,V1,2.2,19,""
120462671,Mantlectomy,V4,3,2,""
118760232,Make America Exotic,V4-,3,2,""
107996791,Problem A,V2-,3,2,PG13
116756786,Castaways,V4,3,1,""
116956188,Beehive Mantle (SDS),V6,3,1,""
107968939,Mother Fuc$er!,V6,3,1,""
110455952,Offwidth  5,V0,3,1,""
120516375,Presto Digitator,V6,3,1,""
108426278,Obi Wan,V5,3,1,""
109507303,Circle Crack,V5,3,1,""
109507273,Circle Crack Arête,V4,3,1,""
120462730,Minor Mantle,V3,3,1,""
109493456,Funky Ass Crack,V3+,3,1,""
